feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,125,breslow,5,0.1,0.0,0.3,7192.910284847496,0.5434191364903785,32.53197450340985,49.37752228785358
A,20,10,125,breslow,5,0.1,0.0,0.5,7332.6565963234225,0.5416517797061097,32.55750188561603,49.47713826036041
A,20,10,125,breslow,5,0.1,0.0,0.95,,,,
A,20,10,125,breslow,5,0.1,0.5,0.3,7230.259991730246,0.5432435643867091,32.53840023076969,49.39060149719758
A,20,10,125,breslow,5,0.1,0.5,0.5,7332.669242304352,0.541651147182705,32.55806926150255,49.47776678035592
A,20,10,125,breslow,5,0.1,0.5,0.95,,,,
A,20,10,125,breslow,5,0.1,1.0,0.3,7230.259991730246,0.5432435643867091,32.53840023076969,49.39060149719758
A,20,10,125,breslow,5,0.1,1.0,0.5,7332.669242304352,0.541651147182705,32.55806926150255,49.47776678035592
A,20,10,125,breslow,5,0.1,1.0,0.95,,,,
A,20,10,125,breslow,5,1.0,0.0,0.3,7230.259991730246,0.5432435643867091,32.53840023076969,49.39060149719758
A,20,10,125,breslow,5,1.0,0.0,0.5,7332.669242304352,0.541651147182705,32.55806926150255,49.47776678035592
A,20,10,125,breslow,5,1.0,0.0,0.95,,,,
A,20,10,125,breslow,5,1.0,0.5,0.3,7230.259991730246,0.5432435643867091,32.53840023076969,49.39060149719758
A,20,10,125,breslow,5,1.0,0.5,0.5,7332.669242304352,0.541651147182705,32.55806926150255,49.47776678035592
A,20,10,125,breslow,5,1.0,0.5,0.95,,,,
A,20,10,125,breslow,5,1.0,1.0,0.3,7230.259991730246,0.5432435643867091,32.53840023076969,49.39060149719758
A,20,10,125,breslow,5,1.0,1.0,0.5,7332.669242304352,0.541651147182705,32.55806926150255,49.47776678035592
A,20,10,125,breslow,5,1.0,1.0,0.95,,,,
A,20,10,125,spline,3,0.0,0.0,0.3,,,,
A,20,10,125,spline,3,0.0,0.0,0.5,,,,
A,20,10,125,spline,3,0.0,0.0,0.95,,,,
A,20,10,125,spline,3,0.0,0.5,0.3,,,,
A,20,10,125,spline,3,0.0,0.5,0.5,,,,
A,20,10,125,spline,3,0.0,0.5,0.95,,,,
A,20,10,125,spline,3,0.0,1.0,0.3,,,,
A,20,10,125,spline,3,0.0,1.0,0.5,,,,
A,20,10,125,spline,3,0.0,1.0,0.95,,,,
A,20,10,125,spline,3,0.1,0.0,0.3,,,,
A,20,10,125,spline,3,0.1,0.0,0.5,,,,
A,20,10,125,spline,3,0.1,0.0,0.95,,,,
A,20,10,125,spline,3,0.1,0.5,0.3,,,,
A,20,10,125,spline,3,0.1,0.5,0.5,,,,
A,20,10,125,spline,3,0.1,0.5,0.95,,,,
A,20,10,125,spline,3,0.1,1.0,0.3,,,,
A,20,10,125,spline,3,0.1,1.0,0.5,,,,
A,20,10,125,spline,3,0.1,1.0,0.95,,,,
A,20,10,125,spline,3,1.0,0.0,0.3,,,,
A,20,10,125,spline,3,1.0,0.0,0.5,,,,
A,20,10,125,spline,3,1.0,0.0,0.95,,,,
A,20,10,125,spline,3,1.0,0.5,0.3,,,,
A,20,10,125,spline,3,1.0,0.5,0.5,,,,
A,20,10,125,spline,3,1.0,0.5,0.95,,,,
A,20,10,125,spline,3,1.0,1.0,0.3,,,,
